Country Name,Country Code,Time,Time Code,Population growth (annual %) [SP.POP.GROW]
Afghanistan,AFG,1990,YR1990,4.476896508
Afghanistan,AFG,1995,YR1995,5.884256812
Afghanistan,AFG,2000,YR2000,2.975052846
Afghanistan,AFG,2005,YR2005,3.682731797
Afghanistan,AFG,2010,YR2010,2.74657628
Afghanistan,AFG,2015,YR2015,3.077083595
Afghanistan,AFG,2018,YR2018,2.885207973
Bangladesh,BGD,1990,YR1990,2.429599019
Bangladesh,BGD,1995,YR1995,2.134495915
Bangladesh,BGD,2000,YR2000,1.95238739
Bangladesh,BGD,2005,YR2005,1.484744774
Bangladesh,BGD,2010,YR2010,1.124803493
Bangladesh,BGD,2015,YR2015,1.117283565
Bangladesh,BGD,2018,YR2018,1.161378
Bhutan,BTN,1990,YR1990,1.638239
Bhutan,BTN,1995,YR1995,0.510635258
Bhutan,BTN,2000,YR2000,2.248358465
Bhutan,BTN,2005,YR2005,1.541558106
Bhutan,BTN,2010,YR2010,1.052929
Bhutan,BTN,2015,YR2015,1.219146338
Bhutan,BTN,2018,YR2018,0.787111572
India,IND,1990,YR1990,2.076088739
India,IND,1995,YR1995,1.918940549
India,IND,2000,YR2000,1.768125412
India,IND,2005,YR2005,1.57971
India,IND,2010,YR2010,1.350339045
India,IND,2015,YR2015,1.116633091
India,IND,2018,YR2018,1.087527722
Maldives,MDV,1990,YR1990,3.024330501
Maldives,MDV,1995,YR1995,2.208445383
Maldives,MDV,2000,YR2000,2.123695132
Maldives,MDV,2005,YR2005,2.645060548
Maldives,MDV,2010,YR2010,3.431139266
Maldives,MDV,2015,YR2015,4.473007506
Maldives,MDV,2018,YR2018,3.59964
Pakistan,PAK,1990,YR1990,2.955558407
Pakistan,PAK,1995,YR1995,2.797005942
Pakistan,PAK,2000,YR2000,2.647398688
Pakistan,PAK,2005,YR2005,2.296422881
Pakistan,PAK,2010,YR2010,2.197033999
Pakistan,PAK,2015,YR2015,2.087629055
Pakistan,PAK,2018,YR2018,1.537172
Sri Lanka,LKA,1990,YR1990,1.272186385
Sri Lanka,LKA,1995,YR1995,0.816986744
Sri Lanka,LKA,2000,YR2000,0.610655198
Sri Lanka,LKA,2005,YR2005,0.810825506
Sri Lanka,LKA,2010,YR2010,0.684554667
Sri Lanka,LKA,2015,YR2015,0.919811027
Sri Lanka,LKA,2018,YR2018,1.048392
Nepal,NPL,1990,YR1990,2.465687227
Nepal,NPL,1995,YR1995,2.51165238
Nepal,NPL,2000,YR2000,1.817273368
Nepal,NPL,2005,YR2005,1.271055309
Nepal,NPL,2010,YR2010,0.481206223
Nepal,NPL,2015,YR2015,0.400968922
Nepal,NPL,2018,YR2018,1.140549
,,,,
,,,,
,,,,
Data from database: Education Statistics - All Indicators,,,,
Last Updated: 12/20/2020,,,,
